conf_label,twoP_label,distance_um,within_gate
189,835,0.3598801315483792,True
50,279,0.5956089889498424,True
167,582,0.636245916281967,True
174,615,0.684944038528105,True
104,551,1.2468075004272983,True
184,799,1.5745957715637422,True
154,647,1.608846868395578,True
92,340,1.6351466326009683,True
169,655,1.8639399601667612,True
188,806,1.99034768848685,True
21,246,2.107808102275806,True
23,244,2.1358572379512615,True
134,584,2.3466921955094127,True
73,308,2.364620008665704,True
97,352,2.4480974730323894,True
172,582,2.7203178684389693,True
94,341,2.870826196989106,True
129,603,3.093174392871431,True
133,604,3.181773860324871,True
191,835,3.2303172019103,True
186,820,3.252843404855531,True
168,640,3.2926895242295653,True
83,341,3.298193027691199,True
29,424,3.3580277958831672,True
140,591,3.420170617793357,True
96,352,3.478165289476544,True
112,571,3.496499636317522,True
41,307,3.541394648210798,True
165,570,3.716279923952894,True
152,591,3.7169925404346955,True
48,263,3.740595411226399,True
62,306,3.745439690858806,True
164,633,3.7854874923714665,True
86,298,3.807970193304152,True
24,244,3.8317426421788414,True
33,266,3.946678754524675,True
150,570,3.97338033466092,True
103,353,3.9788908853518654,True
183,792,4.059483700569553,True
90,381,4.072206301472377,True
124,605,4.087385926615618,True
137,640,4.130685084180653,True
44,253,4.141991141210251,True
84,327,4.178170391414705,True
182,787,4.178446462631623,True
49,255,4.180280364158337,True
121,584,4.182261009704615,True
162,633,4.198082868663528,True
123,571,4.2013448919234655,True
99,353,4.256549983413218,True
95,308,4.282590374107533,True
190,792,4.307621179168704,True
101,303,4.364301850626619,True
135,633,4.371441367457753,True
166,570,4.421482542694122,True
143,584,4.561208099489649,True
28,424,4.5772916547099385,True
74,297,4.581418337725876,True
170,655,4.688425453587906,True
142,603,4.7022547766088785,True
114,569,4.712093210495711,True
149,560,4.7609892961908695,True
71,341,4.812477368931396,True
25,246,4.836629172048834,True
110,557,4.888793751704154,True
138,584,4.92951321011831,True
155,582,4.930389463650423,True
181,787,4.944665304307508,True
148,615,5.00303505461262,True
158,603,5.0881511956125145,True
179,767,5.0974414631379314,True
151,582,5.102729585642544,True
157,633,5.1397626897925095,True
153,584,5.235885117584683,True
141,591,5.274940718629916,True
32,275,5.443115850902454,True
85,412,5.468973891269257,True
144,560,5.617449674460677,True
147,582,5.705567165624626,True
107,604,5.863130790727407,True
146,560,5.913884950548281,True
105,560,5.983566611520297,True
35,274,5.986588188257542,True
79,263,6.009767420658394,True
102,341,6.047390164679039,True
64,354,6.122524708457062,True
3,333,6.238806544888445,True
180,767,6.264046300784605,True
20,253,6.356990662538986,True
145,560,6.357138172933263,True
89,381,6.46663215962927,True
122,560,6.479604806646129,True
66,299,6.607990911883634,True
82,298,6.680095971950191,True
126,571,6.704462811881147,True
55,254,6.737583694032201,True
6,333,6.83719841330108,True
119,604,6.855257852842913,True
93,303,6.913602987565279,True
132,552,7.061562370121835,True
118,560,7.2307614912799645,True
115,551,7.293262123076415,True
42,262,7.301009557607824,True
60,305,7.317421589714583,True
120,584,7.37427555029577,True
19,264,7.5579753375149314,True
52,278,7.575891868706253,True
131,633,7.636408482428159,True
88,381,7.681402643753311,True
46,296,7.737043707351559,True
65,318,7.755178830082578,True
139,639,7.87599871530374,True
171,761,7.902419343015728,True
58,253,8.005468685789873,True
130,584,8.069814913005153,True
68,303,8.071441860042338,True
59,254,8.17392493972275,True
57,351,8.223757854057506,True
177,655,8.235942454921434,True
161,655,8.312817630296232,True
113,603,8.379496308251555,True
185,787,8.38867428748444,True
69,303,8.43813273290913,True
37,337,8.527835197278193,True
38,277,8.574201837237243,True
91,304,8.651249422987812,True
128,571,8.732017938206372,True
160,655,8.774076927427151,True
173,654,8.775971350228673,True
22,285,8.852287683961807,True
187,799,8.942051253996793,True
109,593,8.95509099092583,True
127,560,9.240994064957716,True
61,266,9.266255236028398,True
2,333,9.278213543741725,True
27,244,9.379589826264192,True
98,341,9.45943858061716,True
117,560,9.701921943491081,True
11,333,9.748053869579458,True
39,304,9.863506349148757,True
78,318,9.949687156564286,True
4,333,10.032243654970427,False
76,340,10.055198187712719,False
108,584,10.107794990699382,False
87,302,10.609188763188675,False
116,557,10.793557526985898,False
159,655,11.027521292681085,False
1,289,11.139382557173535,False
175,655,11.747858994554585,False
45,262,12.095972939760502,False
36,274,12.227298758384938,False
178,655,12.354381576870587,False
111,557,12.417347023861836,False
47,274,13.158043800880261,False
34,266,13.164621670882363,False
72,307,13.169133381554094,False
40,266,13.21745353509952,False
67,277,13.673671523421573,False
106,593,13.702847721506497,False
5,333,13.933796711044947,False
10,253,14.410449328903734,False
14,253,14.619494460735758,False
75,277,16.520286869550752,False
80,303,16.641042729937062,False
16,333,16.80470646782993,False
70,304,16.859498648891027,False
13,333,16.92079348646363,False
77,303,16.94152261354809,False
56,274,17.204732061838524,False
30,393,18.318455726199932,False
51,274,18.572026967776477,False
81,302,19.1435609641928,False
53,274,20.1506144226108,False
15,393,20.851171328947917,False
18,203,20.945767514835026,False
54,362,26.09798455142054,False
63,274,26.515424994396543,False
31,362,27.48061470819192,False
12,393,28.097566069578004,False
17,362,32.262565726482755,False
9,362,41.3047099225897,False
26,362,43.421956514137904,False
7,274,43.89105362185925,False
8,362,48.931771080874086,False
